"Level","Fund Code","Pay Currency","Swap Pay Date","Swap Deal Reference","Underlier Name","Bloomberg Code","Equity Amount (Pay Currency)","Financing Amount (Pay Currency)","Dividend Amount (Fin Currency)","Ad Hoc Amount (Fin Currency)","Net Amount (Pay Currency)","Settlement Status","Event","Final Price (Trade / Reset Date Price)","Final Price (Trade / Reset Date Price) (8dp)","Final Price * Final FX Rate","Final Price * Final FX Rate (8dp)","Reset / Unwind Quantity","RIC Code","Sedol Code","Start of Financing Period","Start of Performance Period","Initial Price","Trade Date","Effective Date","Ex-Date Open Quantity","Gross Dividend Rate per Share"
Summary,86U,USD,2024-10-07,,,,-0.0792,0.0,0.0,0.0,-0.0792,UNSETTLED,Unwind,0.0,0.0,0.0,0.0,0.0,,,2024-10-07,2024-10-03,0.0,,,0.0,0.0
Position,86U,USD,2024-10-07,A8486989,PTT PUBLIC CO LTD (FOREIGN),PTT/F TB,-0.0792,0.0,0.0,0.0,-0.0792,UNSETTLED,Unwind,33.4869,33.4869,1.0124535,1.01245351,-100.0,PTT_f.BK,BD0BDJ3,2024-10-07,2024-10-03,0.0,,,0.0,0.0
Trade,86U,USD,2024-10-07,A8486989,PTT PUBLIC CO LTD (FOREIGN),PTT/F TB,-0.0792,0.0,0.0,0.0,-0.0792,UNSETTLED,Unwind,33.4869,33.4869,1.0124535,1.01245351,-100.0,PTT_f.BK,BD0BDJ3,2024-10-07,2024-10-03,1.0132457,2024-10-03,2024-10-07,0.0,0.0
