Account Name,Settle CCY,Swap ID,Reference Account ID,Settle Date,Cancel,ISIN,RIC,Security Description,Open Trade,Close Trade,Open Quantity,Close Quantity,Open Price,Close Price,Open Trade Value,Close Trade Value,Gross PnL,Open Commission,Close Commission,Net PnL
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100000X77,601880.SS,LIAONING PORT CO LTD COM STK CNY 1,523992000,531232541,(842000),842000,0.1723,0.2046,(145089.70),172271.77,(27182.07),0.00,0.00,(27182.07)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cancel,CNE100000X77,601880.SS,LIAONING PORT CO LTD COM STK CNY 1,523704662,529902394,47100,(47100),0.1736,0.2046,8175.69,(9636.58),1460.89,0.00,0.00,1460.89
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cancel,CNE100000X77,601880.SS,LIAONING PORT CO LTD COM STK CNY 1,523992000,529902394,842000,(842000),0.1723,0.2046,145089.70,(172271.77),27182.07,0.00,0.00,27182.07
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cancel,CNE100000X77,601880.SS,LIAONING PORT CO LTD COM STK CNY 1,524631333,529902394,153915,(153915),0.1717,0.2046,26421.58,(31490.75),5069.17,0.00,0.00,5069.17
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100000X77,601880.SS,LIAONING PORT CO LTD COM STK CNY 1,523704662,531232541,(47100),47100,0.1736,0.2046,(8175.69),9636.58,(1460.89),0.00,0.00,(1460.89)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cancel,CNE100001567,601567.SS,NINGBO SANXING MEDICAL ELECTRIC CO LTD C,521042018,529902367,24200,(24200),4.3301,4.8064,104787.41,(116314.01),11526.59,0.00,0.00,11526.59
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cancel,CNE100001567,601567.SS,NINGBO SANXING MEDICAL ELECTRIC CO LTD C,523992002,529902367,7400,(7400),4.7013,4.8064,34789.42,(35567.09),777.68,0.00,0.00,777.68
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cancel,CNE100001567,601567.SS,NINGBO SANXING MEDICAL ELECTRIC CO LTD C,519826207,529902367,13500,(13500),4.0112,4.8064,54151.02,(64885.91),10734.89,0.00,0.00,10734.89
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cancel,CNE100001567,601567.SS,NINGBO SANXING MEDICAL ELECTRIC CO LTD C,517581442,529902367,42700,(42700),4.0317,4.8064,172154.29,(205231.74),33077.45,0.00,0.00,33077.45
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100001567,601567.SS,NINGBO SANXING MEDICAL ELECTRIC CO LTD C,517581442,531235757,(42700),42700,4.0317,4.8064,(172154.29),205231.75,(33077.46),0.00,0.00,(33077.46)
